,nifty50_close,sp500_close,gold_close,brent_close,usd_inr_close,nifty50_monthly_return,sp500_monthly_return,gold_monthly_return,brent_monthly_return,usd_inr_monthly_change,us_cpi_index,us_unemployment_rate,us_fed_funds_rate,us_10y_yield,log_nifty50_close,log_sp500_close,log_gold_close,log_brent_close,log_usd_inr_close,log_us_cpi_index,log_us_unemployment_rate,log_us_fed_funds_rate,log_us_10y_yield,log_return_nifty50_close,log_return_sp500_close,log_return_gold_close,log_return_brent_close,log_return_usd_inr_close,log_nifty50_monthly_return_shifted,log_sp500_monthly_return_shifted,log_gold_monthly_return_shifted,log_brent_monthly_return_shifted,log_usd_inr_monthly_change_shifted
nifty50_close,1.0,0.9841190764285019,0.7987804940541319,-0.1708380560456225,0.894900792026485,0.05523290511602299,0.045626996584049485,0.15810033268647705,-0.019255000131176415,-0.04210507102670695,0.9831146887969845,-0.6085199355160872,0.829518882619043,0.5656201605658417,0.9755856845772499,0.9485550147311721,0.8121884942797722,-0.08681877826595931,0.8535898325823978,0.980720352613996,-0.6469897501525392,0.7077350011068252,0.4220160478161925,0.06123515173007495,0.04492136244806492,0.16215229109630963,-0.007967503769826068,-0.034894037252113534,0.060129079862859335,0.04500597563079316,0.16171745709603408,-0.012794202950814914,-0.035341927200997235
sp500_close,0.9841190764285019,1.0,0.8212693467459397,-0.21778818125568847,0.911175028781007,0.041574465926119145,0.06588902484358376,0.1575273183407821,0.004167110794740711,-0.03484690154209144,0.9675280310988329,-0.5860948857865967,0.7590660522868954,0.4716943400186748,0.9691339746622151,0.9703911975232462,0.8277308780083782,-0.14235697187644777,0.876035365736622,0.968355914350312,-0.6198340210141677,0.6428820538310501,0.31990922825456564,0.04644747412274066,0.06554265215737376,0.16129108798770775,0.008656761892659803,-0.027825472308019863,0.045560897254908216,0.06559020878567552,0.16088684644737666,0.006778006599939636,-0.028261560418945036
gold_close,0.7987804940541319,0.8212693467459397,1.0,0.012223299269323277,0.6259534930393271,0.020306493726692448,0.05335327385997821,0.25432113266095197,-0.014580257438509228,0.002063652764026722,0.7925350658895419,-0.21172423865518195,0.6255068176201508,0.47405992948490117,0.6897170368043687,0.6890826432011439,0.9778905065746487,0.04811138829147335,0.564174984814256,0.773351405320873,-0.23037573260234695,0.4643505349528197,0.3200913664573285,0.022163557201920574,0.05366831369236306,0.25288465660126275,-0.005400273336455127,0.005130258451695203,0.021826641210090723,0.053638134120008674,0.25305385688664156,-0.00896132511941166,0.004940482371985021
brent_close,-0.1708380560456225,-0.21778818125568847,0.012223299269323277,1.0,-0.3687586403671604,-0.00515491736606656,-0.004545889114182945,-0.0894542332782984,0.07927392625694908,0.08048935094922889,-0.1275020890517614,0.2634164895704967,-0.07873306575349731,0.261737408043659,-0.2797702615820183,-0.3088877998813934,0.07633192119392825,0.9801668569675602,-0.39826927286727465,-0.14581462091403927,0.285140010552492,-0.21075217321944809,0.34861783957827186,0.002481150996265978,-0.0010874410597736044,-0.09372738255461266,0.12065553406382012,0.07443813131457534,0.000850624846972901,-0.0014750328347315743,-0.09327055467670728,0.10491157235427938,0.0748159585226319
usd_inr_close,0.894900792026485,0.911175028781007,0.6259534930393271,-0.3687586403671604,1.0,0.005580628543992517,0.0015005669689551354,0.09634233911737192,-0.05226907289303719,0.020466088117336908,0.9212936148092179,-0.7018661135115961,0.7353852810529797,0.3418952903125321,0.936035790537486,0.9592892574564051,0.6377541376531652,-0.3137595480503241,0.9946114282645844,0.9347443067027169,-0.7402391994840337,0.6729421374496246,0.1940667340678809,0.007547444134027558,-0.0009483685399950609,0.10039349007462157,-0.059191567707278236,0.026849601878211542,0.007246943288494433,-0.0006704837126488757,0.09995215635624394,-0.05691746958876414,0.02645331017257657
nifty50_monthly_return,0.05523290511602299,0.041574465926119145,0.020306493726692448,-0.00515491736606656,0.005580628543992517,1.0,0.5366367629187071,0.0881286498988175,0.2744631277545982,-0.549870934033993,0.01429986511988326,0.11095432540562729,-0.005582227122656198,-0.044528149335390975,0.06986550041482523,0.05056565389247281,0.028138963264880554,0.0211675869518464,0.008908117444387794,0.015848039185635966,0.10019254275848484,-0.057912245174827626,-0.058576597257069485,0.9984153126352552,0.5367051248519304,0.0900634324353078,0.31775783984410516,-0.5506804067709941,0.9989958206766625,0.5366916044321257,0.08985494019949372,0.29964975366037644,-0.5506505895646775
sp500_monthly_return,0.045626996584049485,0.06588902484358376,0.05335327385997821,-0.004545889114182945,0.0015005669689551354,0.5366367629187071,1.0,0.08169699376168145,0.42715584732231454,-0.37680315657060126,0.015585635339721517,0.14446366950886327,0.03390212370862115,-0.0016504982385141865,0.04073730937101203,0.05772001741415101,0.058404768807400614,0.01155609803687645,-0.0022841517284996095,0.013883515209830758,0.12743158937347046,-0.03265761333965284,-0.023572835363233114,0.5367136423167065,0.999487628787425,0.08382874215349793,0.4337876758727694,-0.3758667405031771,0.5367949495056433,0.9995954444556694,0.08360234267415777,0.43283933805528396,-0.3759377899967746
gold_monthly_return,0.15810033268647705,0.1575273183407821,0.25432113266095197,-0.0894542332782984,0.09634233911737192,0.0881286498988175,0.08169699376168145,1.0,0.05476925860309833,-0.18703596112092025,0.14549556882734727,0.03570656168686394,0.1734015536316626,0.12252091080227233,0.1287125369371759,0.1147261414331662,0.2515733670372643,-0.09408964556206757,0.06926589112719195,0.1372597054267716,0.003138591405857808,0.14232627147366164,0.06755903632559854,0.08297074287023702,0.07970559760948774,0.999512394214747,0.054327948632532604,-0.18587763327531004,0.08399310121811894,0.07992863642452365,0.9996130732403942,0.05546377609547017,-0.18596509519001317
brent_monthly_return,-0.019255000131176415,0.004167110794740711,-0.014580257438509228,0.07927392625694908,-0.05226907289303719,0.2744631277545982,0.42715584732231454,0.05476925860309833,1.0,-0.14110013647425076,-0.04579491662755415,0.21398156187648187,-0.09927105165202048,-0.056079129031839536,-0.01029368520653625,0.004166268024062876,0.009598277739536008,0.10059599676411898,-0.05598968355317479,-0.044238823617042296,0.18429120850846128,-0.14019365392992023,-0.07196104980049998,0.2884292920146637,0.4307842234715333,0.054823209421955635,0.9849531870314127,-0.13971874490724612,0.2854656895792238,0.4303676346637215,0.05481716549570454,0.9950924852400117,-0.1398130702591925
usd_inr_monthly_change,-0.04210507102670695,-0.03484690154209144,0.002063652764026722,0.08048935094922889,0.020466088117336908,-0.549870934033993,-0.37680315657060126,-0.18703596112092025,-0.14110013647425076,1.0,-0.01339753967723182,0.004530095431155183,-0.02972809212368396,-0.00913228524581248,-0.0654618232026286,-0.04998200935287954,0.0027394213013461387,0.06426257193790647,0.02430409086635624,-0.014141661296478258,0.008017380219489341,-0.026659320336817144,0.001426854869576967,-0.5485937085460572,-0.37877351033841616,-0.1945845175609102,-0.15591849861007326,0.9996740000003702,-0.5490746613211895,-0.37857956417524596,-0.19375306570439066,-0.15002803613028948,0.999712844537017
