,log_nifty50_close,log_sp500_close,log_gold_close,log_brent_close,log_usd_inr_close,log_us_cpi_index,log_us_unemployment_rate,log_us_fed_funds_rate,log_us_10y_yield,log_crude_price,logret_crude_price,log_DHHNGSP,log_DGS10,log_bse_close
log_nifty50_close,1.0,0.9915775679874105,0.8810403795937685,-0.04766267742141489,0.9648128034701487,0.9872516025173704,-0.9063635488085746,0.8295838802179254,-0.34607065165311657,0.5303387358773389,-0.08987922259619346,-0.1950756449929984,-0.5169269105065211,0.9831882078171267
log_sp500_close,0.9915775679874105,1.0,0.8846657001574955,-0.055006699009188045,0.9832639673010057,0.9779080311532414,-0.9130789586814788,0.7957303445422921,-0.43344210371653885,0.5571474168464934,-0.09034942953904582,-0.21280556205522033,-0.5792905333799949,0.9598795119315591
log_gold_close,0.8810403795937685,0.8846657001574955,1.0,0.13032344457534803,0.8396238680225817,0.9159733685199949,-0.7052883648052638,0.7002287438791343,-0.33156439203381805,0.5492912964375509,-0.07881562007202589,-0.16988350971009347,-0.4897688464691739,0.8779745044533604
log_brent_close,-0.04766267742141489,-0.055006699009188045,0.13032344457534803,1.0,-0.09909467738887513,0.017620942089653372,0.03164118714392551,-0.04116708017115922,0.2753620266082355,0.35544412971400335,0.07979397411962244,0.2621226748855793,0.0914371938694525,-0.016879983005304224
log_usd_inr_close,0.9648128034701487,0.9832639673010057,0.8396238680225817,-0.09909467738887513,1.0,0.9550008787286519,-0.9293849974742137,0.7902322663402648,-0.4863583881163924,0.558730218003458,-0.11122828966744533,-0.2386320961251747,-0.6149296315570277,0.9172453115495212
log_us_cpi_index,0.9872516025173704,0.9779080311532414,0.9159733685199949,0.017620942089653372,0.9550008787286519,1.0,-0.8787701051637709,0.8400493331386386,-0.29125530201399824,0.5336804383091341,-0.09900328648781005,-0.18603620747072214,-0.4795979527010789,0.9822592113611275
log_us_unemployment_rate,-0.9063635488085746,-0.9130789586814788,-0.7052883648052638,0.03164118714392551,-0.9293849974742137,-0.8787701051637709,1.0,-0.849652023488849,0.373597785041004,-0.560735126197771,0.14885944728314007,0.19517635387005539,0.5467572490258025,-0.8485477273816611
log_us_fed_funds_rate,0.8295838802179254,0.7957303445422921,0.7002287438791343,-0.04116708017115922,0.7902322663402648,0.8400493331386386,-0.849652023488849,1.0,-0.025956358915960567,0.41061233356818155,-0.12817021998445152,-0.21034781223872115,-0.27833263005849224,0.8232943073370165
log_us_10y_yield,-0.34607065165311657,-0.43344210371653885,-0.33156439203381805,0.2753620266082355,-0.4863583881163924,-0.29125530201399824,0.373597785041004,-0.025956358915960567,1.0,-0.34302662608363305,0.058607777392597704,0.24435467551320003,0.7678966836275888,-0.24254086821816231
log_crude_price,0.5303387358773389,0.5571474168464934,0.5492912964375509,0.35544412971400335,0.558730218003458,0.5336804383091341,-0.560735126197771,0.41061233356818155,-0.34302662608363305,1.0,0.01916839609179552,0.3329983414428526,-0.6069350731260343,0.4716849584750861
logret_crude_price,-0.08987922259619346,-0.09034942953904582,-0.07881562007202589,0.07979397411962244,-0.11122828966744533,-0.09900328648781005,0.14885944728314007,-0.12817021998445152,0.058607777392597704,0.01916839609179552,1.0,-0.010389099706782538,0.07399451271378298,-0.07585162823038705
log_DHHNGSP,-0.1950756449929984,-0.21280556205522033,-0.16988350971009347,0.2621226748855793,-0.2386320961251747,-0.18603620747072214,0.19517635387005539,-0.21034781223872115,0.24435467551320003,0.3329983414428526,-0.010389099706782538,1.0,0.052156681906381556,-0.16880046795225329
log_DGS10,-0.5169269105065211,-0.5792905333799949,-0.4897688464691739,0.0914371938694525,-0.6149296315570277,-0.4795979527010789,0.5467572490258025,-0.27833263005849224,0.7678966836275888,-0.6069350731260343,0.07399451271378298,0.052156681906381556,1.0,-0.42219826730583193
log_bse_close,0.9831882078171267,0.9598795119315591,0.8779745044533604,-0.016879983005304224,0.9172453115495212,0.9822592113611275,-0.8485477273816611,0.8232943073370165,-0.24254086821816231,0.4716849584750861,-0.07585162823038705,-0.16880046795225329,-0.42219826730583193,1.0
