date,All food,Beef and veal,Cereals and bakery products,Dairy products,Eggs,Fats and oils,Fish and seafood,Food at home,Food away from home,Fresh fruits,Fresh fruits and vegetables,Fresh vegetables,Fruits and vegetables,Meats,"Meats, poultry, and fish",Nonalcoholic beverages,Other foods,Other meats,Pork,Poultry,Processed fruits and vegetables,Sugar and sweets,log_All food,log_Beef and veal,log_Cereals and bakery products,log_Dairy products,log_Eggs,log_Fats and oils,log_Fish and seafood,log_Food at home,log_Food away from home,log_Fresh fruits,log_Fresh fruits and vegetables,log_Fresh vegetables,log_Fruits and vegetables,log_Meats,"log_Meats, poultry, and fish",log_Nonalcoholic beverages,log_Other foods,log_Other meats,log_Pork,log_Poultry,log_Processed fruits and vegetables,log_Sugar and sweets
2002-07-01,1.9,-0.6,1.8,-1.2,-6.4,0.2,1.5,1.6,1.8,-0.1,2.3,-1.6,1.6,0.6,1.4,-1.1,1.2,2.1,-0.1,-0.6,45.1,1.5,1.2237754316221157,1.6677068205580763,1.62924053973028,1.7578579175523736,2.525728644308255,1.3609765531356008,1.4350845252893227,1.589235205116581,0.6151856390902335,1.7404661748405046,1.967112356705916,1.280933845462064,1.4469189829363254,1.6389967146756448,1.6094379124341003,0.3364722366212129,1.1314021114911006,1.5260563034950492,1.824549292051046,0.9555114450274363,3.901972669574645,1.2237754316221157
2002-08-01,1.8,-0.3,1.7,-0.7,-1.4,0.5,1.7,1.5,2.0,-4.8,4.1,0.4,2.4,-0.2,0.9,-0.6,0.9,2.1,0.0,0.1,45.1,2.0,1.1939224684724346,1.7227665977411037,1.6094379124341003,1.840549633397487,2.8622008809294686,1.4350845252893227,1.4816045409242156,1.5686159179138452,0.7178397931503168,0.0,2.191653532286764,1.7227665977411035,1.6193882432872684,1.4701758451005926,1.5040773967762742,0.6418538861723947,1.0296194171811581,1.5260563034950492,1.840549633397487,1.1939224684724346,3.901972669574645,1.3609765531356006
2002-09-01,1.8,0.2,2.0,-0.2,0.2,0.3,1.2,1.5,2.0,0.0,-0.1,-0.5,2.7,0.8,1.3,-1.0,1.0,2.1,0.7,0.5,45.1,1.7,1.1939224684724346,1.8082887711792657,1.667706820558076,1.916922612182061,2.949688335052584,1.3862943611198906,1.3609765531356006,1.5686159179138452,0.7178397931503168,1.7578579175523736,1.55814461804655,1.5475625087160128,1.6770965609079151,1.6770965609079154,1.589235205116581,0.4054651081081644,1.0647107369924282,1.5260563034950492,1.9459101490553132,1.308332819650179,3.901972669574645,1.2809338454620642
2002-10-01,1.8,-0.6,1.3,-1.3,-1.6,0.7,1.8,1.4,2.2,1.1,-1.9,-1.3,2.8,-0.4,1.2,1.9,0.9,2.6,-1.6,0.4,45.1,2.0,1.1939224684724346,1.6677068205580763,1.5260563034950492,1.7404661748405046,2.850706501503733,1.4816045409242156,1.5040773967762742,1.5475625087160128,0.8109302162163288,1.9315214116032138,1.0818051703517284,1.3609765531356006,1.6956156086751526,1.423108334242607,1.5686159179138452,1.4816045409242156,1.0296194171811581,1.62924053973028,1.5475625087160128,1.2809338454620642,3.901972669574645,1.3609765531356006
2002-11-01,1.9,-0.3,1.6,-0.8,-2.7,1.6,1.4,1.3,2.2,1.2,-1.0,-1.1,2.9,-1.2,0.7,0.8,0.7,2.8,-1.9,-0.2,45.1,1.9,1.2237754316221157,1.7227665977411037,1.589235205116581,1.824549292051046,2.785011242238338,1.6677068205580763,1.410986973710262,1.5260563034950492,0.8109302162163288,1.9459101490553132,1.3480731482996928,1.410986973710262,1.713797927758343,1.2089603458369753,1.4586150226995167,1.1939224684724346,0.9555114450274363,1.667706820558076,1.4816045409242156,1.0986122886681098,3.901972669574645,1.33500106673234
2002-12-01,1.9,0.2,1.2,-0.3,2.7,-1.1,1.2,1.4,2.2,0.8,3.6,-0.4,2.8,-0.6,0.9,0.3,1.3,3.0,-2.3,0.3,45.1,1.4,1.2237754316221157,1.8082887711792657,1.5040773967762742,1.9021075263969205,3.0726933146901194,0.9555114450274363,1.3609765531356006,1.5475625087160128,0.8109302162163288,1.8870696490323797,2.134166441369082,1.568615917913845,1.6956156086751526,1.3737155789130306,1.5040773967762742,1.0296194171811581,1.1631508098056809,1.7047480922384253,1.3862943611198906,1.252762968495368,3.901972669574645,1.1939224684724346
2003-01-01,1.9,0.6,0.8,-0.4,5.6,-1.7,0.6,1.5,2.3,4.8,2.2,-1.6,1.8,0.4,-0.1,0.8,1.4,3.0,-1.4,1.1,45.1,1.3,1.2237754316221157,1.8718021769015913,1.410986973710262,1.8870696490323797,3.1986731175506815,0.6931471805599453,1.1939224684724346,1.5686159179138452,0.8544153281560675,2.3608540011180215,1.9530276168241774,1.280933845462064,1.4929040961781488,1.599387576580599,1.252762968495368,1.1939224684724346,1.1939224684724346,1.7047480922384253,1.589235205116581,1.458615022699517,3.901972669574645,1.1631508098056809
2003-02-01,1.8,0.5,1.6,-1.3,5.1,0.2,0.7,1.7,1.6,4.1,3.6,0.4,2.8,-0.8,-0.9,1.1,1.3,0.5,-0.5,0.1,45.1,1.8,1.1939224684724346,1.8562979903656263,1.589235205116581,1.7404661748405046,3.1780538303479458,1.3609765531356008,1.2237754316221157,1.6094379124341003,0.5007752879124894,2.292534757140544,2.134166441369082,1.7227665977411035,1.6956156086751526,1.3217558399823195,0.9932517730102834,1.2809338454620642,1.1631508098056809,1.0986122886681098,1.7578579175523736,1.1939224684724346,3.901972669574645,1.308332819650179
2003-03-01,2.1,5.6,2.5,-0.3,6.6,2.0,1.2,2.0,2.3,0.5,1.3,0.3,1.2,3.3,2.6,1.2,1.0,0.8,0.7,0.6,45.1,2.3,1.2809338454620642,2.4423470353692043,1.7578579175523736,1.9021075263969205,3.2386784521643803,1.7404661748405046,1.3609765531356006,1.667706820558076,0.8544153281560675,1.840549633397487,1.8164520818184264,1.704748092238425,1.3480731482996928,2.060513531794317,1.824549292051046,1.308332819650179,1.0647107369924282,1.1939224684724346,1.9459101490553132,1.3350010667323402,3.901972669574645,1.4350845252893225
2003-04-01,2.0,5.6,2.7,-0.6,7.5,1.3,0.3,1.9,2.2,0.8,1.6,0.9,1.3,2.8,2.2,0.7,1.2,0.5,-0.9,0.8,45.1,2.6,1.252762968495368,2.4423470353692043,1.791759469228055,1.8562979903656263,3.2733640101522705,1.6094379124341003,1.0986122886681098,1.6486586255873816,0.8109302162163288,1.8870696490323797,1.864080130807681,1.8082887711792655,1.3737155789130306,1.9947003132247452,1.7578579175523739,1.1631508098056809,1.1314021114911006,1.0986122886681098,1.6863989535702286,1.3862943611198906,3.901972669574645,1.5040773967762742
