consumer_price_index_item,month_of_forecast,year_of_forecast,year_being_forecast,attribute,forecast_percent_change
All food,July,2002,2003,Lower bound of prediction interval,-0.2
Dairy products,August,2002,2003,Lower bound of prediction interval,-8.9
Dairy products,July,2002,2003,Upper bound of prediction interval,8.1
Dairy products,July,2002,2003,Mid point of prediction interval,-1.2
Dairy products,July,2002,2003,Lower bound of prediction interval,-9.7
Eggs,December,2002,2003,Upper bound of prediction interval,23.8
Eggs,December,2002,2003,Mid point of prediction interval,2.7
Eggs,December,2002,2003,Lower bound of prediction interval,-14.3
Eggs,November,2002,2003,Upper bound of prediction interval,19.3
Eggs,November,2002,2003,Mid point of prediction interval,-2.7
Eggs,November,2002,2003,Lower bound of prediction interval,-20.0
Eggs,October,2002,2003,Upper bound of prediction interval,22.0
Eggs,October,2002,2003,Mid point of prediction interval,-1.6
Eggs,October,2002,2003,Lower bound of prediction interval,-20.3
Eggs,September,2002,2003,Upper bound of prediction interval,26.6
Dairy products,August,2002,2003,Mid point of prediction interval,-0.7
Eggs,September,2002,2003,Mid point of prediction interval,0.2
Eggs,August,2002,2003,Upper bound of prediction interval,25.7
Eggs,August,2002,2003,Mid point of prediction interval,-1.4
Eggs,August,2002,2003,Lower bound of prediction interval,-22.1
Eggs,July,2002,2003,Upper bound of prediction interval,20.6
Eggs,July,2002,2003,Mid point of prediction interval,-6.4
Eggs,July,2002,2003,Lower bound of prediction interval,-26.9
Fish and seafood,December,2002,2003,Upper bound of prediction interval,4.1
Fish and seafood,December,2002,2003,Mid point of prediction interval,1.2
Fish and seafood,December,2002,2003,Lower bound of prediction interval,-1.7
Fish and seafood,November,2002,2003,Upper bound of prediction interval,4.6
Fish and seafood,November,2002,2003,Mid point of prediction interval,1.4
Fish and seafood,November,2002,2003,Lower bound of prediction interval,-1.6
Fish and seafood,October,2002,2003,Upper bound of prediction interval,5.1
Fish and seafood,October,2002,2003,Mid point of prediction interval,1.8
Eggs,September,2002,2003,Lower bound of prediction interval,-19.9
Dairy products,August,2002,2003,Upper bound of prediction interval,8.0
Dairy products,September,2002,2003,Lower bound of prediction interval,-7.8
Dairy products,September,2002,2003,Mid point of prediction interval,-0.2
Fruits and vegetables,July,2002,2003,Upper bound of prediction interval,6.6
Fruits and vegetables,July,2002,2003,Mid point of prediction interval,1.6
Fruits and vegetables,July,2002,2003,Lower bound of prediction interval,-2.9
Fats and oils,December,2002,2003,Upper bound of prediction interval,3.1
Fats and oils,December,2002,2003,Mid point of prediction interval,-1.1
Fats and oils,December,2002,2003,Lower bound of prediction interval,-5.0
Fats and oils,November,2002,2003,Upper bound of prediction interval,6.3
Fats and oils,November,2002,2003,Mid point of prediction interval,1.6
Fats and oils,November,2002,2003,Lower bound of prediction interval,-2.7
Fats and oils,October,2002,2003,Upper bound of prediction interval,5.4
Fats and oils,October,2002,2003,Mid point of prediction interval,0.7
Fats and oils,October,2002,2003,Lower bound of prediction interval,-3.9
Fats and oils,September,2002,2003,Upper bound of prediction interval,5.4
Fats and oils,September,2002,2003,Mid point of prediction interval,0.3
Fats and oils,September,2002,2003,Lower bound of prediction interval,-4.5
Fats and oils,August,2002,2003,Upper bound of prediction interval,5.9
Fats and oils,August,2002,2003,Mid point of prediction interval,0.5
Dairy products,September,2002,2003,Upper bound of prediction interval,8.1
Dairy products,October,2002,2003,Lower bound of prediction interval,-8.5
Dairy products,October,2002,2003,Mid point of prediction interval,-1.3
Dairy products,October,2002,2003,Upper bound of prediction interval,6.3
Dairy products,November,2002,2003,Lower bound of prediction interval,-7.4
Dairy products,November,2002,2003,Mid point of prediction interval,-0.8
Fish and seafood,October,2002,2003,Lower bound of prediction interval,-1.4
Dairy products,November,2002,2003,Upper bound of prediction interval,6.2
Dairy products,December,2002,2003,Mid point of prediction interval,-0.3
Dairy products,December,2002,2003,Upper bound of prediction interval,5.9
Fats and oils,July,2002,2003,Lower bound of prediction interval,-5.1
Fats and oils,July,2002,2003,Mid point of prediction interval,0.2
Fats and oils,July,2002,2003,Upper bound of prediction interval,6.1
Fats and oils,August,2002,2003,Lower bound of prediction interval,-4.7
Dairy products,December,2002,2003,Lower bound of prediction interval,-6.2
Fish and seafood,September,2002,2003,Upper bound of prediction interval,4.5
Fish and seafood,September,2002,2003,Mid point of prediction interval,1.2
Fish and seafood,September,2002,2003,Lower bound of prediction interval,-2.0
Other meats,September,2002,2003,Lower bound of prediction interval,-1.2
Other meats,August,2002,2003,Upper bound of prediction interval,5.8
Other meats,August,2002,2003,Mid point of prediction interval,2.1
Other meats,August,2002,2003,Lower bound of prediction interval,-1.4
Other meats,July,2002,2003,Upper bound of prediction interval,6.0
Other meats,July,2002,2003,Mid point of prediction interval,2.1
Other meats,July,2002,2003,Lower bound of prediction interval,-1.5
Pork,December,2002,2003,Upper bound of prediction interval,5.5
Pork,December,2002,2003,Mid point of prediction interval,-2.3
Pork,December,2002,2003,Lower bound of prediction interval,-9.4
Pork,November,2002,2003,Upper bound of prediction interval,6.7
Pork,November,2002,2003,Mid point of prediction interval,-1.9
Pork,November,2002,2003,Lower bound of prediction interval,-9.7
Pork,October,2002,2003,Upper bound of prediction interval,7.8
Pork,October,2002,2003,Mid point of prediction interval,-1.6
Pork,October,2002,2003,Lower bound of prediction interval,-9.9
Pork,September,2002,2003,Upper bound of prediction interval,10.9
Beef and veal,November,2002,2003,Lower bound of prediction interval,-5.5
